data,ativo,preco
2025-09-05,Tesouro Selic,101.01
2025-09-05,CDB Liquidez Diária,101.4
2025-09-05,LCI/LCA,101.13
2025-09-05,Fundo Multimercado,101.63
2025-09-05,Fundo de Ações,102.05
2025-09-05,ETF BOVA11,97.23
2025-09-05,Ação PETR4,89.28
2025-09-05,Ação VALE3,100.63
2025-09-08,Tesouro Selic,101.03
2025-09-08,CDB Liquidez Diária,101.46
2025-09-08,LCI/LCA,101.15
2025-09-08,Fundo Multimercado,101.27
2025-09-08,Fundo de Ações,100.41
2025-09-08,ETF BOVA11,96.34
2025-09-08,Ação PETR4,87.5
2025-09-08,Ação VALE3,99.76
2025-09-09,Tesouro Selic,101.07
2025-09-09,CDB Liquidez Diária,101.48
2025-09-09,LCI/LCA,101.27
2025-09-09,Fundo Multimercado,101.54
2025-09-09,Fundo de Ações,98.67
2025-09-09,ETF BOVA11,95.5
2025-09-09,Ação PETR4,85.87
2025-09-09,Ação VALE3,99.64
2025-09-10,Tesouro Selic,101.06
2025-09-10,CDB Liquidez Diária,101.47
2025-09-10,LCI/LCA,101.29
2025-09-10,Fundo Multimercado,101.81
2025-09-10,Fundo de Ações,97.99
2025-09-10,ETF BOVA11,95.07
2025-09-10,Ação PETR4,84.94
2025-09-10,Ação VALE3,98.21
2025-09-11,Tesouro Selic,101.22
2025-09-11,CDB Liquidez Diária,101.64
2025-09-11,LCI/LCA,101.38
2025-09-11,Fundo Multimercado,102.41
2025-09-11,Fundo de Ações,101.24
2025-09-11,ETF BOVA11,98.04
2025-09-11,Ação PETR4,86.29
2025-09-11,Ação VALE3,100.15
2025-09-12,Tesouro Selic,101.34
2025-09-12,CDB Liquidez Diária,101.74
2025-09-12,LCI/LCA,101.49
2025-09-12,Fundo Multimercado,102.87
2025-09-12,Fundo de Ações,100.92
2025-09-12,ETF BOVA11,98.02
2025-09-12,Ação PETR4,82.73
2025-09-12,Ação VALE3,97.72
2025-09-15,Tesouro Selic,101.37
2025-09-15,CDB Liquidez Diária,101.71
2025-09-15,LCI/LCA,101.57
2025-09-15,Fundo Multimercado,102.32
2025-09-15,Fundo de Ações,99.33
2025-09-15,ETF BOVA11,96.72
2025-09-15,Ação PETR4,82.97
2025-09-15,Ação VALE3,95.25
2025-09-16,Tesouro Selic,101.48
2025-09-16,CDB Liquidez Diária,101.83
2025-09-16,LCI/LCA,101.63
2025-09-16,Fundo Multimercado,102.68
2025-09-16,Fundo de Ações,100.04
2025-09-16,ETF BOVA11,96.95
2025-09-16,Ação PETR4,83.27
2025-09-16,Ação VALE3,95.03
2025-09-17,Tesouro Selic,101.53
2025-09-17,CDB Liquidez Diária,101.91
2025-09-17,LCI/LCA,101.74
2025-09-17,Fundo Multimercado,102.3
2025-09-17,Fundo de Ações,101.63
2025-09-17,ETF BOVA11,96.5
2025-09-17,Ação PETR4,82.75
2025-09-17,Ação VALE3,95.32
2025-09-18,Tesouro Selic,101.59
2025-09-18,CDB Liquidez Diária,101.95
2025-09-18,LCI/LCA,101.79
2025-09-18,Fundo Multimercado,102.19
2025-09-18,Fundo de Ações,100.62
2025-09-18,ETF BOVA11,96.26
2025-09-18,Ação PETR4,82.85
2025-09-18,Ação VALE3,94.39
2025-09-19,Tesouro Selic,101.69
2025-09-19,CDB Liquidez Diária,102.06
2025-09-19,LCI/LCA,101.9
2025-09-19,Fundo Multimercado,102.58
2025-09-19,Fundo de Ações,100.3
2025-09-19,ETF BOVA11,95.9
2025-09-19,Ação PETR4,83.25
2025-09-19,Ação VALE3,94.91
2025-09-22,Tesouro Selic,101.73
2025-09-22,CDB Liquidez Diária,102.11
2025-09-22,LCI/LCA,101.99
2025-09-22,Fundo Multimercado,102.41
2025-09-22,Fundo de Ações,100.55
2025-09-22,ETF BOVA11,95.81
2025-09-22,Ação PETR4,82.93
2025-09-22,Ação VALE3,96.05
2025-09-23,Tesouro Selic,101.83
2025-09-23,CDB Liquidez Diária,102.24
2025-09-23,LCI/LCA,102.13
2025-09-23,Fundo Multimercado,102.6
2025-09-23,Fundo de Ações,101.51
2025-09-23,ETF BOVA11,96.27
2025-09-23,Ação PETR4,83.7
2025-09-23,Ação VALE3,96.44
2025-09-24,Tesouro Selic,101.88
2025-09-24,CDB Liquidez Diária,102.31
2025-09-24,LCI/LCA,102.15
2025-09-24,Fundo Multimercado,103.45
2025-09-24,Fundo de Ações,102.06
2025-09-24,ETF BOVA11,96.4
2025-09-24,Ação PETR4,85.08
2025-09-24,Ação VALE3,97.78
2025-09-25,Tesouro Selic,101.96
2025-09-25,CDB Liquidez Diária,102.42
2025-09-25,LCI/LCA,102.23
2025-09-25,Fundo Multimercado,103.26
2025-09-25,Fundo de Ações,101.55
2025-09-25,ETF BOVA11,95.47
2025-09-25,Ação PETR4,85.19
2025-09-25,Ação VALE3,97.01
2025-09-26,Tesouro Selic,101.95
2025-09-26,CDB Liquidez Diária,102.4
2025-09-26,LCI/LCA,102.24
2025-09-26,Fundo Multimercado,103.0
2025-09-26,Fundo de Ações,100.15
2025-09-26,ETF BOVA11,94.59
2025-09-26,Ação PETR4,84.57
2025-09-26,Ação VALE3,95.64
2025-09-29,Tesouro Selic,101.96
2025-09-29,CDB Liquidez Diária,102.42
2025-09-29,LCI/LCA,102.2
2025-09-29,Fundo Multimercado,102.48
2025-09-29,Fundo de Ações,98.24
2025-09-29,ETF BOVA11,92.91
2025-09-29,Ação PETR4,83.21
2025-09-29,Ação VALE3,95.83
2025-09-30,Tesouro Selic,102.06
2025-09-30,CDB Liquidez Diária,102.51
2025-09-30,LCI/LCA,102.29
2025-09-30,Fundo Multimercado,102.26
2025-09-30,Fundo de Ações,97.56
2025-09-30,ETF BOVA11,92.1
2025-09-30,Ação PETR4,82.7
2025-09-30,Ação VALE3,94.16
2025-10-01,Tesouro Selic,102.13
2025-10-01,CDB Liquidez Diária,102.66
2025-10-01,LCI/LCA,102.36
2025-10-01,Fundo Multimercado,102.57
2025-10-01,Fundo de Ações,98.76
2025-10-01,ETF BOVA11,92.74
2025-10-01,Ação PETR4,83.58
2025-10-01,Ação VALE3,94.87
2025-10-02,Tesouro Selic,102.18
2025-10-02,CDB Liquidez Diária,102.67
2025-10-02,LCI/LCA,102.4
2025-10-02,Fundo Multimercado,102.79
2025-10-02,Fundo de Ações,100.83
2025-10-02,ETF BOVA11,94.73
2025-10-02,Ação PETR4,87.85
2025-10-02,Ação VALE3,96.7
2025-10-03,Tesouro Selic,102.28
2025-10-03,CDB Liquidez Diária,102.78
2025-10-03,LCI/LCA,102.57
2025-10-03,Fundo Multimercado,102.64
2025-10-03,Fundo de Ações,99.4
2025-10-03,ETF BOVA11,93.3
2025-10-03,Ação PETR4,83.99
2025-10-03,Ação VALE3,93.94
2025-10-06,Tesouro Selic,102.28
2025-10-06,CDB Liquidez Diária,102.78
2025-10-06,LCI/LCA,102.59
2025-10-06,Fundo Multimercado,103.3
2025-10-06,Fundo de Ações,101.94
2025-10-06,ETF BOVA11,95.01
2025-10-06,Ação PETR4,84.85
2025-10-06,Ação VALE3,95.9
2025-10-07,Tesouro Selic,102.23
2025-10-07,CDB Liquidez Diária,102.81
2025-10-07,LCI/LCA,102.62
2025-10-07,Fundo Multimercado,103.08
2025-10-07,Fundo de Ações,99.6
2025-10-07,ETF BOVA11,94.24
2025-10-07,Ação PETR4,83.89
2025-10-07,Ação VALE3,96.52
2025-10-08,Tesouro Selic,102.17
2025-10-08,CDB Liquidez Diária,102.73
2025-10-08,LCI/LCA,102.57
2025-10-08,Fundo Multimercado,102.95
2025-10-08,Fundo de Ações,99.06
2025-10-08,ETF BOVA11,94.26
2025-10-08,Ação PETR4,82.81
2025-10-08,Ação VALE3,96.07
2025-10-09,Tesouro Selic,102.22
2025-10-09,CDB Liquidez Diária,102.8
2025-10-09,LCI/LCA,102.65
2025-10-09,Fundo Multimercado,102.61
2025-10-09,Fundo de Ações,96.55
2025-10-09,ETF BOVA11,93.16
2025-10-09,Ação PETR4,81.98
2025-10-09,Ação VALE3,94.18
2025-10-10,Tesouro Selic,102.37
2025-10-10,CDB Liquidez Diária,102.95
2025-10-10,LCI/LCA,102.82
2025-10-10,Fundo Multimercado,102.87
2025-10-10,Fundo de Ações,99.06
2025-10-10,ETF BOVA11,95.87
2025-10-10,Ação PETR4,84.34
2025-10-10,Ação VALE3,97.91
2025-10-13,Tesouro Selic,102.45
2025-10-13,CDB Liquidez Diária,103.09
2025-10-13,LCI/LCA,102.87
2025-10-13,Fundo Multimercado,103.3
2025-10-13,Fundo de Ações,100.9
2025-10-13,ETF BOVA11,96.19
2025-10-13,Ação PETR4,83.47
2025-10-13,Ação VALE3,95.42
2025-10-14,Tesouro Selic,102.48
2025-10-14,CDB Liquidez Diária,103.15
2025-10-14,LCI/LCA,102.96
2025-10-14,Fundo Multimercado,103.37
2025-10-14,Fundo de Ações,102.92
2025-10-14,ETF BOVA11,96.67
2025-10-14,Ação PETR4,82.24
2025-10-14,Ação VALE3,95.33
2025-10-15,Tesouro Selic,102.54
2025-10-15,CDB Liquidez Diária,103.22
2025-10-15,LCI/LCA,102.94
2025-10-15,Fundo Multimercado,103.43
2025-10-15,Fundo de Ações,101.36
2025-10-15,ETF BOVA11,96.08
2025-10-15,Ação PETR4,82.01
2025-10-15,Ação VALE3,93.76
2025-10-16,Tesouro Selic,102.55
2025-10-16,CDB Liquidez Diária,103.18
2025-10-16,LCI/LCA,102.94
2025-10-16,Fundo Multimercado,103.74
2025-10-16,Fundo de Ações,100.98
2025-10-16,ETF BOVA11,96.37
2025-10-16,Ação PETR4,81.74
2025-10-16,Ação VALE3,92.93
2025-10-17,Tesouro Selic,102.59
2025-10-17,CDB Liquidez Diária,103.18
2025-10-17,LCI/LCA,102.95
2025-10-17,Fundo Multimercado,103.3
2025-10-17,Fundo de Ações,102.32
2025-10-17,ETF BOVA11,96.96
2025-10-17,Ação PETR4,81.63
2025-10-17,Ação VALE3,93.62
2025-10-20,Tesouro Selic,102.62
2025-10-20,CDB Liquidez Diária,103.2
2025-10-20,LCI/LCA,103.01
2025-10-20,Fundo Multimercado,103.61
2025-10-20,Fundo de Ações,102.37
2025-10-20,ETF BOVA11,96.82
2025-10-20,Ação PETR4,81.24
2025-10-20,Ação VALE3,90.77
2025-10-21,Tesouro Selic,102.57
2025-10-21,CDB Liquidez Diária,103.2
2025-10-21,LCI/LCA,103.04
2025-10-21,Fundo Multimercado,103.44
2025-10-21,Fundo de Ações,102.86
2025-10-21,ETF BOVA11,97.26
2025-10-21,Ação PETR4,84.79
2025-10-21,Ação VALE3,93.37
2025-10-22,Tesouro Selic,102.6
2025-10-22,CDB Liquidez Diária,103.2
2025-10-22,LCI/LCA,103.01
2025-10-22,Fundo Multimercado,103.52
2025-10-22,Fundo de Ações,102.13
2025-10-22,ETF BOVA11,95.97
2025-10-22,Ação PETR4,82.91
2025-10-22,Ação VALE3,90.73
2025-10-23,Tesouro Selic,102.76
2025-10-23,CDB Liquidez Diária,103.39
2025-10-23,LCI/LCA,103.14
2025-10-23,Fundo Multimercado,104.35
2025-10-23,Fundo de Ações,103.6
2025-10-23,ETF BOVA11,96.77
2025-10-23,Ação PETR4,85.25
2025-10-23,Ação VALE3,92.45
2025-10-24,Tesouro Selic,102.73
2025-10-24,CDB Liquidez Diária,103.36
2025-10-24,LCI/LCA,103.09
2025-10-24,Fundo Multimercado,103.75
2025-10-24,Fundo de Ações,103.54
2025-10-24,ETF BOVA11,97.55
2025-10-24,Ação PETR4,84.52
2025-10-24,Ação VALE3,93.48
2025-10-27,Tesouro Selic,102.73
2025-10-27,CDB Liquidez Diária,103.34
2025-10-27,LCI/LCA,103.08
2025-10-27,Fundo Multimercado,103.39
2025-10-27,Fundo de Ações,102.9
2025-10-27,ETF BOVA11,96.41
2025-10-27,Ação PETR4,83.74
2025-10-27,Ação VALE3,92.49
2025-10-28,Tesouro Selic,102.76
2025-10-28,CDB Liquidez Diária,103.33
2025-10-28,LCI/LCA,103.07
2025-10-28,Fundo Multimercado,103.66
2025-10-28,Fundo de Ações,104.11
2025-10-28,ETF BOVA11,96.76
2025-10-28,Ação PETR4,84.25
2025-10-28,Ação VALE3,93.71
2025-10-29,Tesouro Selic,102.69
2025-10-29,CDB Liquidez Diária,103.29
2025-10-29,LCI/LCA,103.01
2025-10-29,Fundo Multimercado,103.75
2025-10-29,Fundo de Ações,103.6
2025-10-29,ETF BOVA11,95.46
2025-10-29,Ação PETR4,81.37
2025-10-29,Ação VALE3,92.04
2025-10-30,Tesouro Selic,102.75
2025-10-30,CDB Liquidez Diária,103.31
2025-10-30,LCI/LCA,103.08
2025-10-30,Fundo Multimercado,103.18
2025-10-30,Fundo de Ações,102.26
2025-10-30,ETF BOVA11,93.51
2025-10-30,Ação PETR4,78.85
2025-10-30,Ação VALE3,90.09
2025-10-31,Tesouro Selic,102.74
2025-10-31,CDB Liquidez Diária,103.28
2025-10-31,LCI/LCA,103.11
2025-10-31,Fundo Multimercado,102.91
2025-10-31,Fundo de Ações,102.79
2025-10-31,ETF BOVA11,93.03
2025-10-31,Ação PETR4,78.98
2025-10-31,Ação VALE3,91.43
2025-11-03,Tesouro Selic,102.62
2025-11-03,CDB Liquidez Diária,103.13
2025-11-03,LCI/LCA,103.04
2025-11-03,Fundo Multimercado,102.57
2025-11-03,Fundo de Ações,102.94
2025-11-03,ETF BOVA11,92.69
2025-11-03,Ação PETR4,78.84
2025-11-03,Ação VALE3,91.04
2025-11-04,Tesouro Selic,102.74
2025-11-04,CDB Liquidez Diária,103.26
2025-11-04,LCI/LCA,103.15
2025-11-04,Fundo Multimercado,102.61
2025-11-04,Fundo de Ações,102.19
2025-11-04,ETF BOVA11,91.92
2025-11-04,Ação PETR4,78.45
2025-11-04,Ação VALE3,89.92
2025-11-05,Tesouro Selic,102.8
2025-11-05,CDB Liquidez Diária,103.41
2025-11-05,LCI/LCA,103.26
2025-11-05,Fundo Multimercado,102.64
2025-11-05,Fundo de Ações,103.48
2025-11-05,ETF BOVA11,92.41
2025-11-05,Ação PETR4,76.93
2025-11-05,Ação VALE3,88.7
2025-11-06,Tesouro Selic,102.72
2025-11-06,CDB Liquidez Diária,103.31
2025-11-06,LCI/LCA,103.2
2025-11-06,Fundo Multimercado,103.08
2025-11-06,Fundo de Ações,105.14
2025-11-06,ETF BOVA11,93.64
2025-11-06,Ação PETR4,78.96
2025-11-06,Ação VALE3,87.74
2025-11-07,Tesouro Selic,102.78
2025-11-07,CDB Liquidez Diária,103.4
2025-11-07,LCI/LCA,103.21
2025-11-07,Fundo Multimercado,103.61
2025-11-07,Fundo de Ações,106.55
2025-11-07,ETF BOVA11,94.52
2025-11-07,Ação PETR4,80.44
2025-11-07,Ação VALE3,91.13
2025-11-10,Tesouro Selic,102.84
2025-11-10,CDB Liquidez Diária,103.47
2025-11-10,LCI/LCA,103.24
2025-11-10,Fundo Multimercado,103.38
2025-11-10,Fundo de Ações,106.93
2025-11-10,ETF BOVA11,94.04
2025-11-10,Ação PETR4,80.08
2025-11-10,Ação VALE3,90.22
2025-11-11,Tesouro Selic,102.91
2025-11-11,CDB Liquidez Diária,103.56
2025-11-11,LCI/LCA,103.35
2025-11-11,Fundo Multimercado,103.3
2025-11-11,Fundo de Ações,106.3
2025-11-11,ETF BOVA11,92.99
2025-11-11,Ação PETR4,78.63
2025-11-11,Ação VALE3,89.5
2025-11-12,Tesouro Selic,103.0
2025-11-12,CDB Liquidez Diária,103.62
2025-11-12,LCI/LCA,103.45
2025-11-12,Fundo Multimercado,103.91
2025-11-12,Fundo de Ações,108.04
2025-11-12,ETF BOVA11,95.44
2025-11-12,Ação PETR4,80.16
2025-11-12,Ação VALE3,90.2
2025-11-13,Tesouro Selic,102.93
2025-11-13,CDB Liquidez Diária,103.6
2025-11-13,LCI/LCA,103.44
2025-11-13,Fundo Multimercado,103.79
2025-11-13,Fundo de Ações,108.32
2025-11-13,ETF BOVA11,94.91
2025-11-13,Ação PETR4,82.17
2025-11-13,Ação VALE3,90.62
2025-11-14,Tesouro Selic,102.98
2025-11-14,CDB Liquidez Diária,103.68
2025-11-14,LCI/LCA,103.51
2025-11-14,Fundo Multimercado,103.96
2025-11-14,Fundo de Ações,107.62
2025-11-14,ETF BOVA11,94.85
2025-11-14,Ação PETR4,84.01
2025-11-14,Ação VALE3,92.58
2025-11-17,Tesouro Selic,103.13
2025-11-17,CDB Liquidez Diária,103.81
2025-11-17,LCI/LCA,103.59
2025-11-17,Fundo Multimercado,104.13
2025-11-17,Fundo de Ações,107.74
2025-11-17,ETF BOVA11,95.57
2025-11-17,Ação PETR4,82.88
2025-11-17,Ação VALE3,94.44
2025-11-18,Tesouro Selic,103.16
2025-11-18,CDB Liquidez Diária,103.83
2025-11-18,LCI/LCA,103.58
2025-11-18,Fundo Multimercado,103.53
2025-11-18,Fundo de Ações,107.39
2025-11-18,ETF BOVA11,95.0
2025-11-18,Ação PETR4,81.01
2025-11-18,Ação VALE3,92.09
2025-11-19,Tesouro Selic,103.18
2025-11-19,CDB Liquidez Diária,103.92
2025-11-19,LCI/LCA,103.61
2025-11-19,Fundo Multimercado,103.04
2025-11-19,Fundo de Ações,105.9
2025-11-19,ETF BOVA11,93.6
2025-11-19,Ação PETR4,76.93
2025-11-19,Ação VALE3,89.91
2025-11-20,Tesouro Selic,103.21
2025-11-20,CDB Liquidez Diária,103.98
2025-11-20,LCI/LCA,103.72
2025-11-20,Fundo Multimercado,103.51
2025-11-20,Fundo de Ações,106.6
2025-11-20,ETF BOVA11,93.65
2025-11-20,Ação PETR4,79.47
2025-11-20,Ação VALE3,90.75
2025-11-21,Tesouro Selic,103.25
2025-11-21,CDB Liquidez Diária,104.02
2025-11-21,LCI/LCA,103.77
2025-11-21,Fundo Multimercado,103.5
2025-11-21,Fundo de Ações,105.85
2025-11-21,ETF BOVA11,92.86
2025-11-21,Ação PETR4,78.69
2025-11-21,Ação VALE3,89.38
2025-11-24,Tesouro Selic,103.25
2025-11-24,CDB Liquidez Diária,104.02
2025-11-24,LCI/LCA,103.76
2025-11-24,Fundo Multimercado,104.03
2025-11-24,Fundo de Ações,103.89
2025-11-24,ETF BOVA11,92.69
2025-11-24,Ação PETR4,79.7
2025-11-24,Ação VALE3,87.25
2025-11-25,Tesouro Selic,103.27
2025-11-25,CDB Liquidez Diária,104.03
2025-11-25,LCI/LCA,103.73
2025-11-25,Fundo Multimercado,103.74
2025-11-25,Fundo de Ações,101.94
2025-11-25,ETF BOVA11,92.36
2025-11-25,Ação PETR4,80.26
2025-11-25,Ação VALE3,88.58
2025-11-26,Tesouro Selic,103.36
2025-11-26,CDB Liquidez Diária,104.07
2025-11-26,LCI/LCA,103.78
2025-11-26,Fundo Multimercado,104.03
2025-11-26,Fundo de Ações,100.98
2025-11-26,ETF BOVA11,92.32
2025-11-26,Ação PETR4,79.93
2025-11-26,Ação VALE3,88.02
2025-11-27,Tesouro Selic,103.45
2025-11-27,CDB Liquidez Diária,104.18
2025-11-27,LCI/LCA,103.85
2025-11-27,Fundo Multimercado,104.61
2025-11-27,Fundo de Ações,100.75
2025-11-27,ETF BOVA11,92.83
